   59.7376976   # Box length L  
   10648        # Number of sites 
   0.00000000       21.7227993       48.8762970    
   0.00000000       24.4381485       51.5916481    
   2.71534991       24.4381485       48.8762970    
   2.71534991       21.7227993       51.5916481    
   1.35767496       23.0804749       50.2339745    
   1.35767496       25.7958241       52.9493217    
   4.07302475       25.7958241       50.2339745    
   4.07302475       23.0804749       52.9493217    
   0.00000000       21.7227993       54.3069992    
   0.00000000       24.4381485       57.0223465    
   2.71534991       24.4381485       54.3069992    
   2.71534991       21.7227993       57.0223465    
   1.35767496       23.0804749       55.6646729    
   1.35767496       25.7958241       58.3800240    
   4.07302475       25.7958241       55.6646729    
   4.07302475       23.0804749       58.3800240    
   0.00000000       27.1534996       0.00000000    
   0.00000000       29.8688488       2.71534991    
   2.71534991       29.8688488       0.00000000    
   2.71534991       27.1534996       2.71534991    
   1.35767496       28.5111732       1.35767496    
   1.35767496       31.2265244       4.07302475    
   4.07302475       31.2265244       1.35767496    
   4.07302475       28.5111732       4.07302475    
   0.00000000       27.1534996       5.43069983    
   0.00000000       29.8688488       8.14604950    
   2.71534991       29.8688488       5.43069983    
   2.71534991       27.1534996       8.14604950    
   1.35767496       28.5111732       6.78837490    
   1.35767496       31.2265244       9.50372505    
   4.07302475       31.2265244       6.78837490    
   4.07302475       28.5111732       9.50372505    
   0.00000000       27.1534996       10.8613997    
   0.00000000       29.8688488       13.5767498    
   2.71534991       29.8688488       10.8613997    
   2.71534991       27.1534996       13.5767498    
   1.35767496       28.5111732       12.2190742    
   1.35767496       31.2265244       14.9344244    
   4.07302475       31.2265244       12.2190742    
   4.07302475       28.5111732       14.9344244    
   0.00000000       27.1534996       16.2920990    
   0.00000000       29.8688488       19.0074501    
   2.71534991       29.8688488       16.2920990    
   2.71534991       27.1534996       19.0074501    
   1.35767496       28.5111732       17.6497746    
   1.35767496       31.2265244       20.3651237    
   4.07302475       31.2265244       17.6497746    
   4.07302475       28.5111732       20.3651237    
   0.00000000       27.1534996       21.7227993    
   0.00000000       29.8688488       24.4381485    
   2.71534991       29.8688488       21.7227993    
   2.71534991       27.1534996       24.4381485    
   1.35767496       28.5111732       23.0804749    
   1.35767496       31.2265244       25.7958241    
   4.07302475       31.2265244       23.0804749    
   4.07302475       28.5111732       25.7958241    
   0.00000000       27.1534996       27.1534996    
   0.00000000       29.8688488       29.8688488    
   2.71534991       29.8688488       27.1534996    
   2.71534991       27.1534996       29.8688488    
   1.35767496       28.5111732       28.5111732    
   1.35767496       31.2265244       31.2265244    
   4.07302475       31.2265244       28.5111732    
   4.07302475       28.5111732       31.2265244    
